,source,true,tokenized_source,tokenized_true,source_likelihood,true_likelihood
10,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']",-121.13070154567215,-121.13070154567215
11,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'зделает', 'так', 'как', 'лутче', 'тебе']","['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'сделает', 'так', 'как', 'лучше', 'тебе']",-90.46304027984128,-66.13716837995858
12,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,"['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'писят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'пятьдесят', 'лет', 'все', 'забавляются', 'над', 'дядькой']",-112.09160170252407,-100.4235513891681
13,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']",-120.5734027303963,-120.5734027303963
14,акцент в последнем предложении правда не совсем понятен,акцент в последнем предложении правда не совсем понятен,"['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']","['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']",-66.02676660398264,-66.02676660398264
15,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,"['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']","['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']",-86.5744057343131,-86.5744057343131
16,он сейчас в отъезде но почту проверять должен переодически,он сейчас в отъезде но почту проверять должен периодически,"['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'переодически']","['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'периодически']",-92.8969394047448,-93.06460392788271
17,колодцы практически везде оборудованы вот такими колесами наверное традиция,колодцы практически везде оборудованы вот такими колесами наверное традиция,"['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']","['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']",-104.77764005065497,-104.77764005065497
18,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита,"['через', 'пару', 'минут', 'он', 'возращаеться', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'енти', 'это', 'отдельная', 'история', 'енто', 'были', 'огромные', 'бокалы', 'под', 'коктель', 'маргарита']","['через', 'пару', 'минут', 'он', 'возвращается', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'эти', 'это', 'отдельная', 'история', 'это', 'были', 'огромные', 'бокалы', 'под', 'коктейль', 'маргарита']",-429.44805309545774,-397.16211648816005
19,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме,"['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достегает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']","['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достигает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']",-168.1577102827943,-167.4997056836334
20,на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив,на второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив,"['на', 'второй', 'день', 'своего', 'прибывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']","['на', 'второй', 'день', 'своего', 'пребывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']",-76.37979871064849,-75.18495601885718
21,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,"['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']","['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']",-126.36661252539129,-126.36661252539129
22,шеф просил учавствовать в тендере ceo,шеф просил участвовать в тендере ceo,"['шеф', 'просил', 'учавствовать', 'в', 'тендере', 'ceo']","['шеф', 'просил', 'участвовать', 'в', 'тендере', 'ceo']",-90.24785891176373,-88.57352778348567
24,я не тьолка я девачка,я не телка я девочка,"['я', 'не', 'тьолка', 'я', 'девачка']","['я', 'не', 'телка', 'я', 'девочка']",-56.54957284259085,-36.06248495210604
25,в общем началась война и через два года оба племени истребили друг друга полностью,в общем началась война и через два года оба племени истребили друг друга полностью,"['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']","['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']",-78.30133118397467,-78.30133118397467
26,интересный эффект гротескной иллюзии,интересный эффект гротескной иллюзии,"['интересный', 'эффект', 'гротескной', 'иллюзии']","['интересный', 'эффект', 'гротескной', 'иллюзии']",-61.64617588004165,-61.64617588004165
27,а вот чего они там таким составом делали это уже сложней,а вот чего они там таким составом делали это уже сложней,"['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']","['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']",-77.32336209398315,-77.32336209398315
28,я в российские агенства не верю,я в российские агентства не верю,"['я', 'в', 'российские', 'агенства', 'не', 'верю']","['я', 'в', 'российские', 'агентства', 'не', 'верю']",-46.37622357538838,-47.527630812703194
29,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,"['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']","['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']",-103.28954101768034,-103.28954101768034
31,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,"['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']","['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']",-175.42030612263568,-175.42030612263568
33,чесно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,честно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,"['чесно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']","['честно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']",-206.4519673162209,-199.49449971042102
36,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,"['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']","['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']",-305.67480045780184,-305.67480045780184
37,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,"['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']","['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']",-116.67264368267568,-116.67264368267568
38,на сайте асинхронные машины откапал всю нужную информацию,на сайте асинхронные машины откопал всю нужную информацию,"['на', 'сайте', 'асинхронные', 'машины', 'откапал', 'всю', 'нужную', 'информацию']","['на', 'сайте', 'асинхронные', 'машины', 'откопал', 'всю', 'нужную', 'информацию']",-94.36404815672002,-79.43696397425914
39,к середине десятилетия увлечение вампирами изжевало себя,к середине десятилетия увлечение вампирами изживало себя,"['к', 'середине', 'десятилетия', 'увлечение', 'вампирами', 'изжевало', 'себя']","['к', 'середине', 'десятилетия', 'увлечение', 'вампирами', 'изживало', 'себя']",-87.21807852141801,-87.21807852141801
40,жека довел торги до 1000 но охранник не приклонился хотя оч хотел,жека довел торги до 1000 но охранник не преклонился хотя очень хотел,"['жека', 'довел', 'торги', 'до', '1000', 'но', 'охранник', 'не', 'приклонился', 'хотя', 'оч', 'хотел']","['жека', 'довел', 'торги', 'до', '1000', 'но', 'охранник', 'не', 'преклонился', 'хотя', 'очень', 'хотел']",-138.65984375340238,-145.21561588385808
41,оделась на голове чтото путно едаже соорудила вопреки опять же всему,оделась на голове что-то путное даже соорудила вопреки опять же всему,"['оделась', 'на', 'голове', 'чтото', 'путно', 'едаже', 'соорудила', 'вопреки', 'опять', 'же', 'всему']","['оделась', 'на', 'голове', 'что-то', 'путное', 'даже', 'соорудила', 'вопреки', 'опять', 'же', 'всему']",-156.80016614011757,-144.0756272163649
42,вдруг привычный черный небосвод распахивается слепящим кругом и жуткий нержавеющей стали черпак ворошит уносит комья потом небосвод захлопывается с громогласным звоном,вдруг привычный черный небосвод распахивается слепящим кругом и жуткий нержавеющей стали черпак ворошит уносит комья потом небосвод захлопывается с громогласным звоном,"['вдруг', 'привычный', 'черный', 'небосвод', 'распахивается', 'слепящим', 'кругом', 'и', 'жуткий', 'нержавеющей', 'стали', 'черпак', 'ворошит', 'уносит', 'комья', 'потом', 'небосвод', 'захлопывается', 'с', 'громогласным', 'звоном']","['вдруг', 'привычный', 'черный', 'небосвод', 'распахивается', 'слепящим', 'кругом', 'и', 'жуткий', 'нержавеющей', 'стали', 'черпак', 'ворошит', 'уносит', 'комья', 'потом', 'небосвод', 'захлопывается', 'с', 'громогласным', 'звоном']",-259.7533048914305,-259.7533048914305
44,длинная картинка в альбоме контакта,длинная картинка в альбоме контакта,"['длинная', 'картинка', 'в', 'альбоме', 'контакта']","['длинная', 'картинка', 'в', 'альбоме', 'контакта']",-56.32149012434515,-56.32149012434515
45,в нос вставьте ватку так чтобы воздух проходил но была бы легкая одышка,в нос вставьте ватку так чтобы воздух проходил но была бы легкая одышка,"['в', 'нос', 'вставьте', 'ватку', 'так', 'чтобы', 'воздух', 'проходил', 'но', 'была', 'бы', 'легкая', 'одышка']","['в', 'нос', 'вставьте', 'ватку', 'так', 'чтобы', 'воздух', 'проходил', 'но', 'была', 'бы', 'легкая', 'одышка']",-122.98340017084216,-122.98340017084216
47,в течение часа самолет находился над целью отвлекая на себя огонь вражеских зениток,в течение часа самолет находился над целью отвлекая на себя огонь вражеских зениток,"['в', 'течение', 'часа', 'самолет', 'находился', 'над', 'целью', 'отвлекая', 'на', 'себя', 'огонь', 'вражеских', 'зениток']","['в', 'течение', 'часа', 'самолет', 'находился', 'над', 'целью', 'отвлекая', 'на', 'себя', 'огонь', 'вражеских', 'зениток']",-117.34332744328567,-117.34332744328567
48,не доверят то что очень хочеться попробывать и из-за этого какой-то неполноценной себя чувствовать начинаешь,не доверят то что очень хочется попробовать и из-за этого какой-то неполноценной себя чувствовать начинаешь,"['не', 'доверят', 'то', 'что', 'очень', 'хочеться', 'попробывать', 'и', 'из-за', 'этого', 'какой-то', 'неполноценной', 'себя', 'чувствовать', 'начинаешь']","['не', 'доверят', 'то', 'что', 'очень', 'хочется', 'попробовать', 'и', 'из-за', 'этого', 'какой-то', 'неполноценной', 'себя', 'чувствовать', 'начинаешь']",-125.21670969752778,-107.55256548858964
49,было бы желание а уж понятия тоталитарная секта и деструктивный культ всегда готовы принять в свои безразмерные объятия всякого кого нужно ничтоже сумняшеся заклеймить не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками,было бы желание а уж понятия тоталитарная секта и деструктивный культ всегда готовы принять в свои безразмерные объятия всякого кого нужно ничтоже сумняшеся заклеймить не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками,"['было', 'бы', 'желание', 'а', 'уж', 'понятия', 'тоталитарная', 'секта', 'и', 'деструктивный', 'культ', 'всегда', 'готовы', 'принять', 'в', 'свои', 'безразмерные', 'объятия', 'всякого', 'кого', 'нужно', 'ничтоже', 'сумняшеся', 'заклеймить', 'не', 'утруждая', 'себя', 'задуматься', 'о', 'последствиях', 'бездумного', 'обращения', 'с', 'такими', 'ярлыками-страшилками']","['было', 'бы', 'желание', 'а', 'уж', 'понятия', 'тоталитарная', 'секта', 'и', 'деструктивный', 'культ', 'всегда', 'готовы', 'принять', 'в', 'свои', 'безразмерные', 'объятия', 'всякого', 'кого', 'нужно', 'ничтоже', 'сумняшеся', 'заклеймить', 'не', 'утруждая', 'себя', 'задуматься', 'о', 'последствиях', 'бездумного', 'обращения', 'с', 'такими', 'ярлыками-страшилками']",-288.460059793092,-288.460059793092
50,меня радует что сейчас у меня перед глазами совесм другие примеры я по-любому буду следовать им и это хорошо что я уже сейчас знаю что такое слинг и сс и почему ребенка нужно класть на живот,меня радует что сейчас у меня перед глазами совсем другие примеры я по-любому буду следовать им и это хорошо что я уже сейчас знаю что такое слинг и сс и почему ребенка нужно класть на живот,"['меня', 'радует', 'что', 'сейчас', 'у', 'меня', 'перед', 'глазами', 'совесм', 'другие', 'примеры', 'я', 'по-любому', 'буду', 'следовать', 'им', 'и', 'это', 'хорошо', 'что', 'я', 'уже', 'сейчас', 'знаю', 'что', 'такое', 'слинг', 'и', 'сс', 'и', 'почему', 'ребенка', 'нужно', 'класть', 'на', 'живот']","['меня', 'радует', 'что', 'сейчас', 'у', 'меня', 'перед', 'глазами', 'совсем', 'другие', 'примеры', 'я', 'по-любому', 'буду', 'следовать', 'им', 'и', 'это', 'хорошо', 'что', 'я', 'уже', 'сейчас', 'знаю', 'что', 'такое', 'слинг', 'и', 'сс', 'и', 'почему', 'ребенка', 'нужно', 'класть', 'на', 'живот']",-191.52253113906718,-183.06841825602325
51,оказался я тут в первый и надеюсь последний раз,оказался я тут в первый и надеюсь последний раз,"['оказался', 'я', 'тут', 'в', 'первый', 'и', 'надеюсь', 'последний', 'раз']","['оказался', 'я', 'тут', 'в', 'первый', 'и', 'надеюсь', 'последний', 'раз']",-71.26586014021625,-71.26586014021625
52,сегодня китай закупает более двух третей произведенной в судане нефти,сегодня китай закупает более двух третей произведенной в судане нефти,"['сегодня', 'китай', 'закупает', 'более', 'двух', 'третей', 'произведенной', 'в', 'судане', 'нефти']","['сегодня', 'китай', 'закупает', 'более', 'двух', 'третей', 'произведенной', 'в', 'судане', 'нефти']",-100.20836174479878,-100.20836174479878
53,многие ультра-националисты и другие люди положительно бы отнеслись к подобному решению вопроса,многие ультра-националисты и другие люди положительно бы отнеслись к подобному решению вопроса,"['многие', 'ультра-националисты', 'и', 'другие', 'люди', 'положительно', 'бы', 'отнеслись', 'к', 'подобному', 'решению', 'вопроса']","['многие', 'ультра-националисты', 'и', 'другие', 'люди', 'положительно', 'бы', 'отнеслись', 'к', 'подобному', 'решению', 'вопроса']",-80.39875863133233,-80.39875863133233
54,найдены также остатки мыла которое викинги делали самостоятельно,найдены также остатки мыла которое викинги делали самостоятельно,"['найдены', 'также', 'остатки', 'мыла', 'которое', 'викинги', 'делали', 'самостоятельно']","['найдены', 'также', 'остатки', 'мыла', 'которое', 'викинги', 'делали', 'самостоятельно']",-110.15129872787509,-110.15129872787509
55,география его выступлений достегает индии англии венгрии португалии голландии финляндии,география его выступлений достигает индии англии венгрии португалии голландии финляндии,"['география', 'его', 'выступлений', 'достегает', 'индии', 'англии', 'венгрии', 'португалии', 'голландии', 'финляндии']","['география', 'его', 'выступлений', 'достигает', 'индии', 'англии', 'венгрии', 'португалии', 'голландии', 'финляндии']",-167.08824367613073,-172.80553675461474
56,давольно милый и летом и зимой обогреваемый теплым солнушком,довольно милый и летом и зимой обогреваемый теплым солнышком,"['давольно', 'милый', 'и', 'летом', 'и', 'зимой', 'обогреваемый', 'теплым', 'солнушком']","['довольно', 'милый', 'и', 'летом', 'и', 'зимой', 'обогреваемый', 'теплым', 'солнышком']",-98.8749472550131,-91.04733518248825
57,после моего доклада программа была паб-ресторан-паб после чего такси ловил нетвердо стоя на ногах,после моего доклада программа была паб-ресторан-паб после чего такси ловил нетвердо стоя на ногах,"['после', 'моего', 'доклада', 'программа', 'была', 'паб-ресторан-паб', 'после', 'чего', 'такси', 'ловил', 'нетвердо', 'стоя', 'на', 'ногах']","['после', 'моего', 'доклада', 'программа', 'была', 'паб-ресторан-паб', 'после', 'чего', 'такси', 'ловил', 'нетвердо', 'стоя', 'на', 'ногах']",-146.51784571362498,-146.51784571362498
58,только вот не хочеться мне одной делать такие героическии поступки,только вот не хочется мне одной делать такие героические поступки,"['только', 'вот', 'не', 'хочеться', 'мне', 'одной', 'делать', 'такие', 'героическии', 'поступки']","['только', 'вот', 'не', 'хочется', 'мне', 'одной', 'делать', 'такие', 'героические', 'поступки']",-69.47280651002318,-59.19445246619351
59,обажаю гулять по вечерам только редко удается,обожаю гулять по вечерам только редко удается,"['обажаю', 'гулять', 'по', 'вечерам', 'только', 'редко', 'удается']","['обожаю', 'гулять', 'по', 'вечерам', 'только', 'редко', 'удается']",-80.20593814919032,-65.9540346417474
60,мне достаточно того что я себе нужен мне ты тоже нужен каким бы ужасным существом не был,мне достаточно того что я себе нужен мне ты тоже нужен каким бы ужасным существом не был,"['мне', 'достаточно', 'того', 'что', 'я', 'себе', 'нужен', 'мне', 'ты', 'тоже', 'нужен', 'каким', 'бы', 'ужасным', 'существом', 'не', 'был']","['мне', 'достаточно', 'того', 'что', 'я', 'себе', 'нужен', 'мне', 'ты', 'тоже', 'нужен', 'каким', 'бы', 'ужасным', 'существом', 'не', 'был']",-96.29430317221797,-96.29430317221797
