,source,true,tokenized_source,tokenized_true,scores_true,scores_source
18,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита,"['через', 'пару', 'минут', 'он', 'возращаеться', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'енти', 'это', 'отдельная', 'история', 'енто', 'были', 'огромные', 'бокалы', 'под', 'коктель', 'маргарита']","['через', 'пару', 'минут', 'он', 'возвращается', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'эти', 'это', 'отдельная', 'история', 'это', 'были', 'огромные', 'бокалы', 'под', 'коктейль', 'маргарита']",-474.0568022796444,-516.6668302564435
19,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме,"['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достегает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']","['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достигает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']",-215.73054221272463,-228.41708675188838
20,на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив,на второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив,"['на', 'второй', 'день', 'своего', 'прибывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']","['на', 'второй', 'день', 'своего', 'пребывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']",-108.42806620550795,-124.03439455363545
21,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,"['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']","['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']",-138.59448586072247,-138.86836863116932
22,шеф просил учавствовать в тендере ceo,шеф просил участвовать в тендере ceo,"['шеф', 'просил', 'учавствовать', 'в', 'тендере', 'ceo']","['шеф', 'просил', 'участвовать', 'в', 'тендере', 'ceo']",-93.15814261322345,-103.97961094244167
23,а теперь смотрите чтоже мы увидили,а теперь смотрите что же мы увидели,"['а', 'теперь', 'смотрите', 'чтоже', 'мы', 'увидили']","['а', 'теперь', 'смотрите', 'что', 'же', 'мы', 'увидели']",-71.91079318693009,-104.6959877471655
24,я не тьолка я девачка,я не телка я девочка,"['я', 'не', 'тьолка', 'я', 'девачка']","['я', 'не', 'телка', 'я', 'девочка']",-95.83738631203768,-90.06088331169994
25,в общем началась война и через два года оба племени истребили друг друга полностью,в общем началась война и через два года оба племени истребили друг друга полностью,"['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']","['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']",-101.11021771490238,-101.01775675487917
26,интересный эффект гротескной иллюзии,интересный эффект гротескной иллюзии,"['интересный', 'эффект', 'гротескной', 'иллюзии']","['интересный', 'эффект', 'гротескной', 'иллюзии']",-91.5572867561101,-91.58519617860664
27,а вот чего они там таким составом делали это уже сложней,а вот чего они там таким составом делали это уже сложней,"['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']","['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']",-119.20140163717608,-118.99888075057747
28,я в российские агенства не верю,я в российские агентства не верю,"['я', 'в', 'российские', 'агенства', 'не', 'верю']","['я', 'в', 'российские', 'агентства', 'не', 'верю']",-70.59542280505264,-76.3189138760394
29,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,"['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']","['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']",-96.28145024909271,-96.2690385653881
30,длина 10 8 км а ширена в самом широком месте достегает 4 км,длина 10.8 км а ширина в самом широком месте достигает 4 км,"['длина', '10', '8', 'км', 'а', 'ширена', 'в', 'самом', 'широком', 'месте', 'достегает', '4', 'км']","['длина', '10.8', 'км', 'а', 'ширина', 'в', 'самом', 'широком', 'месте', 'достигает', '4', 'км']",-112.54211806655857,-135.26402910698
31,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,"['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']","['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']",-181.7326833246221,-181.7663818784012
32,да впринципе ниче особого говорю так как есть,да в принципе ничего особого говорю так как есть,"['да', 'впринципе', 'ниче', 'особого', 'говорю', 'так', 'как', 'есть']","['да', 'в', 'принципе', 'ничего', 'особого', 'говорю', 'так', 'как', 'есть']",-109.96811290226748,-134.53625206883575
33,чесно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,честно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,"['чесно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']","['честно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']",-259.84430067064096,-269.5506658474223
34,помоему надо их уже ставить к стенке и просто в тупую растреливать,по-моему надо их уже ставить к стенке и просто втупую расстреливать,"['помоему', 'надо', 'их', 'уже', 'ставить', 'к', 'стенке', 'и', 'просто', 'в', 'тупую', 'растреливать']","['по-моему', 'надо', 'их', 'уже', 'ставить', 'к', 'стенке', 'и', 'просто', 'втупую', 'расстреливать']",-125.18927714574275,-122.51426962922307
35,и незря эту песню перепевали 100 тысяч раз,и не зря эту песню перепевали 100 тысяч раз,"['и', 'незря', 'эту', 'песню', 'перепевали', '100', 'тысяч', 'раз']","['и', 'не', 'зря', 'эту', 'песню', 'перепевали', '100', 'тысяч', 'раз']",-71.4699434916773,-82.81899831077996
36,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,"['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']","['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']",-312.5830006288822,-312.5356321575966
37,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,"['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']","['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']",-159.9966972591842,-160.0465391522812
38,на сайте асинхронные машины откапал всю нужную информацию,на сайте асинхронные машины откопал всю нужную информацию,"['на', 'сайте', 'асинхронные', 'машины', 'откапал', 'всю', 'нужную', 'информацию']","['на', 'сайте', 'асинхронные', 'машины', 'откопал', 'всю', 'нужную', 'информацию']",-114.51250126819768,-110.61340957233847
39,к середине десятилетия увлечение вампирами изжевало себя,к середине десятилетия увлечение вампирами изживало себя,"['к', 'середине', 'десятилетия', 'увлечение', 'вампирами', 'изжевало', 'себя']","['к', 'середине', 'десятилетия', 'увлечение', 'вампирами', 'изживало', 'себя']",-98.00941606140456,-105.77018928034009
40,жека довел торги до 1000 но охранник не приклонился хотя оч хотел,жека довел торги до 1000 но охранник не преклонился хотя очень хотел,"['жека', 'довел', 'торги', 'до', '1000', 'но', 'охранник', 'не', 'приклонился', 'хотя', 'оч', 'хотел']","['жека', 'довел', 'торги', 'до', '1000', 'но', 'охранник', 'не', 'преклонился', 'хотя', 'очень', 'хотел']",-174.2593283589433,-186.9068693136759
41,оделась на голове чтото путно едаже соорудила вопреки опять же всему,оделась на голове что-то путное даже соорудила вопреки опять же всему,"['оделась', 'на', 'голове', 'чтото', 'путно', 'едаже', 'соорудила', 'вопреки', 'опять', 'же', 'всему']","['оделась', 'на', 'голове', 'что-то', 'путное', 'даже', 'соорудила', 'вопреки', 'опять', 'же', 'всему']",-144.13575774091802,-179.97112256460636
42,вдруг привычный черный небосвод распахивается слепящим кругом и жуткий нержавеющей стали черпак ворошит уносит комья потом небосвод захлопывается с громогласным звоном,вдруг привычный черный небосвод распахивается слепящим кругом и жуткий нержавеющей стали черпак ворошит уносит комья потом небосвод захлопывается с громогласным звоном,"['вдруг', 'привычный', 'черный', 'небосвод', 'распахивается', 'слепящим', 'кругом', 'и', 'жуткий', 'нержавеющей', 'стали', 'черпак', 'ворошит', 'уносит', 'комья', 'потом', 'небосвод', 'захлопывается', 'с', 'громогласным', 'звоном']","['вдруг', 'привычный', 'черный', 'небосвод', 'распахивается', 'слепящим', 'кругом', 'и', 'жуткий', 'нержавеющей', 'стали', 'черпак', 'ворошит', 'уносит', 'комья', 'потом', 'небосвод', 'захлопывается', 'с', 'громогласным', 'звоном']",-282.9355594690351,-282.9353169933901
43,с шумом как то более театрально помойму,с шумом как-то более театрально по-моему,"['с', 'шумом', 'как', 'то', 'более', 'театрально', 'помойму']","['с', 'шумом', 'как-то', 'более', 'театрально', 'по-моему']",-109.93456806922765,-109.54284032353627
44,длинная картинка в альбоме контакта,длинная картинка в альбоме контакта,"['длинная', 'картинка', 'в', 'альбоме', 'контакта']","['длинная', 'картинка', 'в', 'альбоме', 'контакта']",-93.95548115974552,-93.94209031420907
45,в нос вставьте ватку так чтобы воздух проходил но была бы легкая одышка,в нос вставьте ватку так чтобы воздух проходил но была бы легкая одышка,"['в', 'нос', 'вставьте', 'ватку', 'так', 'чтобы', 'воздух', 'проходил', 'но', 'была', 'бы', 'легкая', 'одышка']","['в', 'нос', 'вставьте', 'ватку', 'так', 'чтобы', 'воздух', 'проходил', 'но', 'была', 'бы', 'легкая', 'одышка']",-147.8303261571034,-147.73618208861444
46,может и в правду лутче тебе молчать чем пытаться сказать,может и вправду лучше тебе молчать чем пытаться сказать,"['может', 'и', 'в', 'правду', 'лутче', 'тебе', 'молчать', 'чем', 'пытаться', 'сказать']","['может', 'и', 'вправду', 'лучше', 'тебе', 'молчать', 'чем', 'пытаться', 'сказать']",-129.23667696619626,-149.15288188123205
47,в течение часа самолет находился над целью отвлекая на себя огонь вражеских зениток,в течение часа самолет находился над целью отвлекая на себя огонь вражеских зениток,"['в', 'течение', 'часа', 'самолет', 'находился', 'над', 'целью', 'отвлекая', 'на', 'себя', 'огонь', 'вражеских', 'зениток']","['в', 'течение', 'часа', 'самолет', 'находился', 'над', 'целью', 'отвлекая', 'на', 'себя', 'огонь', 'вражеских', 'зениток']",-101.22541518545498,-101.24332514852311
48,не доверят то что очень хочеться попробывать и из-за этого какой-то неполноценной себя чувствовать начинаешь,не доверят то что очень хочется попробовать и из-за этого какой-то неполноценной себя чувствовать начинаешь,"['не', 'доверят', 'то', 'что', 'очень', 'хочеться', 'попробывать', 'и', 'из-за', 'этого', 'какой-то', 'неполноценной', 'себя', 'чувствовать', 'начинаешь']","['не', 'доверят', 'то', 'что', 'очень', 'хочется', 'попробовать', 'и', 'из-за', 'этого', 'какой-то', 'неполноценной', 'себя', 'чувствовать', 'начинаешь']",-146.8355345233289,-177.06084054622835
49,было бы желание а уж понятия тоталитарная секта и деструктивный культ всегда готовы принять в свои безразмерные объятия всякого кого нужно ничтоже сумняшеся заклеймить не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками,было бы желание а уж понятия тоталитарная секта и деструктивный культ всегда готовы принять в свои безразмерные объятия всякого кого нужно ничтоже сумняшеся заклеймить не утруждая себя задуматься о последствиях бездумного обращения с такими ярлыками-страшилками,"['было', 'бы', 'желание', 'а', 'уж', 'понятия', 'тоталитарная', 'секта', 'и', 'деструктивный', 'культ', 'всегда', 'готовы', 'принять', 'в', 'свои', 'безразмерные', 'объятия', 'всякого', 'кого', 'нужно', 'ничтоже', 'сумняшеся', 'заклеймить', 'не', 'утруждая', 'себя', 'задуматься', 'о', 'последствиях', 'бездумного', 'обращения', 'с', 'такими', 'ярлыками-страшилками']","['было', 'бы', 'желание', 'а', 'уж', 'понятия', 'тоталитарная', 'секта', 'и', 'деструктивный', 'культ', 'всегда', 'готовы', 'принять', 'в', 'свои', 'безразмерные', 'объятия', 'всякого', 'кого', 'нужно', 'ничтоже', 'сумняшеся', 'заклеймить', 'не', 'утруждая', 'себя', 'задуматься', 'о', 'последствиях', 'бездумного', 'обращения', 'с', 'такими', 'ярлыками-страшилками']",-248.30737610058162,-248.30632056078423
50,меня радует что сейчас у меня перед глазами совесм другие примеры я по-любому буду следовать им и это хорошо что я уже сейчас знаю что такое слинг и сс и почему ребенка нужно класть на живот,меня радует что сейчас у меня перед глазами совсем другие примеры я по-любому буду следовать им и это хорошо что я уже сейчас знаю что такое слинг и сс и почему ребенка нужно класть на живот,"['меня', 'радует', 'что', 'сейчас', 'у', 'меня', 'перед', 'глазами', 'совесм', 'другие', 'примеры', 'я', 'по-любому', 'буду', 'следовать', 'им', 'и', 'это', 'хорошо', 'что', 'я', 'уже', 'сейчас', 'знаю', 'что', 'такое', 'слинг', 'и', 'сс', 'и', 'почему', 'ребенка', 'нужно', 'класть', 'на', 'живот']","['меня', 'радует', 'что', 'сейчас', 'у', 'меня', 'перед', 'глазами', 'совсем', 'другие', 'примеры', 'я', 'по-любому', 'буду', 'следовать', 'им', 'и', 'это', 'хорошо', 'что', 'я', 'уже', 'сейчас', 'знаю', 'что', 'такое', 'слинг', 'и', 'сс', 'и', 'почему', 'ребенка', 'нужно', 'класть', 'на', 'живот']",-238.64119534934449,-258.782153319228
51,оказался я тут в первый и надеюсь последний раз,оказался я тут в первый и надеюсь последний раз,"['оказался', 'я', 'тут', 'в', 'первый', 'и', 'надеюсь', 'последний', 'раз']","['оказался', 'я', 'тут', 'в', 'первый', 'и', 'надеюсь', 'последний', 'раз']",-91.48597991781897,-91.42677453353642
52,сегодня китай закупает более двух третей произведенной в судане нефти,сегодня китай закупает более двух третей произведенной в судане нефти,"['сегодня', 'китай', 'закупает', 'более', 'двух', 'третей', 'произведенной', 'в', 'судане', 'нефти']","['сегодня', 'китай', 'закупает', 'более', 'двух', 'третей', 'произведенной', 'в', 'судане', 'нефти']",-115.10137490149731,-115.10657992276707
53,многие ультра-националисты и другие люди положительно бы отнеслись к подобному решению вопроса,многие ультра-националисты и другие люди положительно бы отнеслись к подобному решению вопроса,"['многие', 'ультра-националисты', 'и', 'другие', 'люди', 'положительно', 'бы', 'отнеслись', 'к', 'подобному', 'решению', 'вопроса']","['многие', 'ультра-националисты', 'и', 'другие', 'люди', 'положительно', 'бы', 'отнеслись', 'к', 'подобному', 'решению', 'вопроса']",-102.50073267169859,-102.43789939970904
54,найдены также остатки мыла которое викинги делали самостоятельно,найдены также остатки мыла которое викинги делали самостоятельно,"['найдены', 'также', 'остатки', 'мыла', 'которое', 'викинги', 'делали', 'самостоятельно']","['найдены', 'также', 'остатки', 'мыла', 'которое', 'викинги', 'делали', 'самостоятельно']",-111.82364662478201,-111.8140705293581
