,source,true,tokenized_source,tokenized_true,scores_true,scores_source
10,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","(-259.225148564023, 'но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте')","(-258.431492769033, 'но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте')"
11,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'зделает', 'так', 'как', 'лутче', 'тебе']","['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'сделает', 'так', 'как', 'лучше', 'тебе']","(-171.46906878875944, 'давно стоит понять что в этой жизни никто не сделает так как лучше тебе')","(-187.52347676880314, 'давно стоит понять что в этой жизни никто не зделает так как лутче тебе')"
12,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,"['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'писят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'пятьдесят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","(-202.3991702125469, 'а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой')","(-222.20957808940224, 'а вообще конечно не представляю как все писят лет все забавляются над дядькой')"
13,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","(-177.23013551778755, 'отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в')","(-176.31644363393917, 'отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в')"
14,акцент в последнем предложении правда не совсем понятен,акцент в последнем предложении правда не совсем понятен,"['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']","['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']","(-115.69423617737512, 'акцент в последнем предложении правда не совсем понятен')","(-115.50943359471488, 'акцент в последнем предложении правда не совсем понятен')"
15,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,"['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']","['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']","(-141.11385017575537, 'в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином')","(-142.16387135238793, 'в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином')"
16,он сейчас в отъезде но почту проверять должен переодически,он сейчас в отъезде но почту проверять должен периодически,"['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'переодически']","['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'периодически']","(-159.57423483522226, 'он сейчас в отъезде но почту проверять должен периодически')","(-168.396375743884, 'он сейчас в отъезде но почту проверять должен переодически')"
17,колодцы практически везде оборудованы вот такими колесами наверное традиция,колодцы практически везде оборудованы вот такими колесами наверное традиция,"['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']","['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']","(-187.97561947936208, 'колодцы практически везде оборудованы вот такими колесами наверное традиция')","(-188.12863109711986, 'колодцы практически везде оборудованы вот такими колесами наверное традиция')"
18,через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита,через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита,"['через', 'пару', 'минут', 'он', 'возращаеться', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'енти', 'это', 'отдельная', 'история', 'енто', 'были', 'огромные', 'бокалы', 'под', 'коктель', 'маргарита']","['через', 'пару', 'минут', 'он', 'возвращается', 'и', 'приносит', 'два', 'стакана', 'честно', 'говоря', 'я', 'так', 'и', 'не', 'понял', 'почему', 'два', 'ну', 'да', 'ладно', 'нам', 'не', 'привыкать', 'и', 'когда', 'я', 'ему', 'объяснил', 'что', 'нужно', 'было', 'три', 'он', 'долго', 'порывался', 'сбегать', 'еще', 'раз', 'но', 'видя', 'какие', 'стаканы', 'он', 'принес', 'я', 'понял', 'что', 'лучше', 'пить', 'из', 'горла', 'а', 'стаканы', 'или', 'даже', 'точнее', 'бокалы', 'эти', 'это', 'отдельная', 'история', 'это', 'были', 'огромные', 'бокалы', 'под', 'коктейль', 'маргарита']","(-863.1659250681198, 'через пару минут он возвращается и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы эти это отдельная история это были огромные бокалы под коктейль маргарита')","(-874.6288394942146, 'через пару минут он возращаеться и приносит два стакана честно говоря я так и не понял почему два ну да ладно нам не привыкать и когда я ему объяснил что нужно было три он долго порывался сбегать еще раз но видя какие стаканы он принес я понял что лучше пить из горла а стаканы или даже точнее бокалы енти это отдельная история енто были огромные бокалы под коктель маргарита')"
19,живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме,живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме,"['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достегает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']","['живет', 'где', 'надо', 'тормозит', 'где', 'надо', 'разгоняется', 'ставит', 'цели', 'и', 'достигает', 'их', 'или', 'просто', 'сидит', 'дома', 'смотрит', 'аниме']","(-319.53294364920885, 'живет где надо тормозит где надо разгоняется ставит цели и достигает их или просто сидит дома смотрит аниме')","(-325.5451055811789, 'живет где надо тормозит где надо разгоняется ставит цели и достегает их или просто сидит дома смотрит аниме')"
20,на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив,на второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив,"['на', 'второй', 'день', 'своего', 'прибывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']","['на', 'второй', 'день', 'своего', 'пребывания', 'в', 'общаге', 'я', 'заметил', 'теннисный', 'стол', 'в', 'общей', 'комнате', 'в', 'доме', 'напротив']","(-149.4668172482219, 'на второй день своего пребывания в общаге я заметил теннисный стол в общей комнате в доме напротив')","(-166.3101147544238, 'на второй день своего прибывания в общаге я заметил теннисный стол в общей комнате в доме напротив')"
21,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось,"['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']","['последние', 'пять', 'тысяч', 'лет', 'человеческая', 'нога', 'туда', 'не', 'ступала', 'даже', 'у', 'восьмого', 'департамента', 'что-то', 'не', 'сложилось']","(-195.22589931681586, 'последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось')","(-195.48253716698883, 'последние пять тысяч лет человеческая нога туда не ступала даже у восьмого департамента что-то не сложилось')"
22,шеф просил учавствовать в тендере ceo,шеф просил участвовать в тендере ceo,"['шеф', 'просил', 'учавствовать', 'в', 'тендере', 'ceo']","['шеф', 'просил', 'участвовать', 'в', 'тендере', 'ceo']","(-112.515033362702, 'шеф просил участвовать в тендере ceo')","(-122.9919791217333, 'шеф просил учавствовать в тендере ceo')"
23,а теперь смотрите чтоже мы увидили,а теперь смотрите что же мы увидели,"['а', 'теперь', 'смотрите', 'чтоже', 'мы', 'увидили']","['а', 'теперь', 'смотрите', 'что', 'же', 'мы', 'увидели']","(-100.19525096321277, 'а теперь смотрите что же мы увидели')","(-121.82406358170317, 'а теперь смотрите чтоже мы увидили')"
24,я не тьолка я девачка,я не телка я девочка,"['я', 'не', 'тьолка', 'я', 'девачка']","['я', 'не', 'телка', 'я', 'девочка']","(-116.93858427512458, 'я не телка я девочка')","(-97.10216095179553, 'я не тьолка я девачка')"
25,в общем началась война и через два года оба племени истребили друг друга полностью,в общем началась война и через два года оба племени истребили друг друга полностью,"['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']","['в', 'общем', 'началась', 'война', 'и', 'через', 'два', 'года', 'оба', 'племени', 'истребили', 'друг', 'друга', 'полностью']","(-144.35224298421315, 'в общем началась война и через два года оба племени истребили друг друга полностью')","(-144.27580939328783, 'в общем началась война и через два года оба племени истребили друг друга полностью')"
26,интересный эффект гротескной иллюзии,интересный эффект гротескной иллюзии,"['интересный', 'эффект', 'гротескной', 'иллюзии']","['интересный', 'эффект', 'гротескной', 'иллюзии']","(-106.72323336690098, 'интересный эффект гротескной иллюзии')","(-106.75648739305333, 'интересный эффект гротескной иллюзии')"
27,а вот чего они там таким составом делали это уже сложней,а вот чего они там таким составом делали это уже сложней,"['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']","['а', 'вот', 'чего', 'они', 'там', 'таким', 'составом', 'делали', 'это', 'уже', 'сложней']","(-164.2153311578573, 'а вот чего они там таким составом делали это уже сложней')","(-164.07380303074245, 'а вот чего они там таким составом делали это уже сложней')"
28,я в российские агенства не верю,я в российские агентства не верю,"['я', 'в', 'российские', 'агенства', 'не', 'верю']","['я', 'в', 'российские', 'агентства', 'не', 'верю']","(-88.37635421088507, 'я в российские агентства не верю')","(-94.26529009451957, 'я в российские агенства не верю')"
29,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки,"['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']","['уничтоженный', 'пожаром', 'каменный', 'храм', 'восстановили', 'своими', 'силами', 'в', '1860', 'году', 'уральские', 'казаки']","(-139.26647759911432, 'уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки')","(-139.1893600612765, 'уничтоженный пожаром каменный храм восстановили своими силами в 1860 году уральские казаки')"
30,длина 10 8 км а ширена в самом широком месте достегает 4 км,длина 10.8 км а ширина в самом широком месте достигает 4 км,"['длина', '10', '8', 'км', 'а', 'ширена', 'в', 'самом', 'широком', 'месте', 'достегает', '4', 'км']","['длина', '10.8', 'км', 'а', 'ширина', 'в', 'самом', 'широком', 'месте', 'достигает', '4', 'км']","(-143.14472683269864, 'длина 10.8 км а ширина в самом широком месте достигает 4 км')","(-165.9163283371572, 'длина 10 8 км а ширена в самом широком месте достегает 4 км')"
31,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем,"['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']","['дело', 'и', 'в', 'том', 'что', 'белоруссия', 'единственная', 'постсоветская', 'республика', 'которая', 'смогла', 'переломить', 'предначертанный', 'ей', 'ход', 'событий', 'остаться', 'независимой', 'и', 'идти', 'собственным', 'путем']","(-266.2018813473353, 'дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем')","(-266.25438418684735, 'дело и в том что белоруссия единственная постсоветская республика которая смогла переломить предначертанный ей ход событий остаться независимой и идти собственным путем')"
32,да впринципе ниче особого говорю так как есть,да в принципе ничего особого говорю так как есть,"['да', 'впринципе', 'ниче', 'особого', 'говорю', 'так', 'как', 'есть']","['да', 'в', 'принципе', 'ничего', 'особого', 'говорю', 'так', 'как', 'есть']","(-147.71299957637615, 'да в принципе ничего особого говорю так как есть')","(-169.1179003627868, 'да впринципе ниче особого говорю так как есть')"
33,чесно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,честно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось,"['чесно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']","['честно', 'говоря', 'выбора', 'у', 'нас', 'особого', 'не', 'было', 'как', 'добираться', 'до', 'питера', 'потому', 'что', 'самолет', 'дорого', 'а', 'на', 'машине', 'я', 'ехать', 'отказалась', 'потому', 'что', 'жалко', 'мне', 'и', 'водителя', 'одного', 'и', 'ребенка', 'мучить', 'не', 'хотелось']","(-427.9609110389493, 'честно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось')","(-431.5235331665102, 'чесно говоря выбора у нас особого не было как добираться до питера потому что самолет дорого а на машине я ехать отказалась потому что жалко мне и водителя одного и ребенка мучить не хотелось')"
34,помоему надо их уже ставить к стенке и просто в тупую растреливать,по-моему надо их уже ставить к стенке и просто втупую расстреливать,"['помоему', 'надо', 'их', 'уже', 'ставить', 'к', 'стенке', 'и', 'просто', 'в', 'тупую', 'растреливать']","['по-моему', 'надо', 'их', 'уже', 'ставить', 'к', 'стенке', 'и', 'просто', 'втупую', 'расстреливать']","(-155.55133709668974, 'по-моему надо их уже ставить к стенке и просто втупую расстреливать')","(-169.3828619388761, 'помоему надо их уже ставить к стенке и просто в тупую растреливать')"
35,и незря эту песню перепевали 100 тысяч раз,и не зря эту песню перепевали 100 тысяч раз,"['и', 'незря', 'эту', 'песню', 'перепевали', '100', 'тысяч', 'раз']","['и', 'не', 'зря', 'эту', 'песню', 'перепевали', '100', 'тысяч', 'раз']","(-98.3175750146114, 'и не зря эту песню перепевали 100 тысяч раз')","(-110.87663724291691, 'и незря эту песню перепевали 100 тысяч раз')"
36,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно,"['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']","['короче', 'у', 'вожатого', 'имеется', 'реальная', 'маза', 'недели', 'две', 'а', 'то', 'и', 'три', 'славно', 'пожить', 'на', 'полном', 'государственном', 'обеспечении', 'плюс', 'детские', 'сонники', 'разные', 'там', 'мягкие', 'булки', 'и', 'квадратные', 'печенья', 'с', 'кефирчиком', 'сверхурочно']","(-467.13750517281335, 'короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно')","(-467.17087766773477, 'короче у вожатого имеется реальная маза недели две а то и три славно пожить на полном государственном обеспечении плюс детские сонники разные там мягкие булки и квадратные печенья с кефирчиком сверхурочно')"
37,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших,"['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']","['уже', 'в', 'конце', 'xx', 'века', 'на', 'западе', 'не', 'вступивших', 'в', 'брак', 'женщин', 'было', 'столько', 'же', 'сколько', 'вступивших']","(-217.16883837181268, 'уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших')","(-217.21979964987784, 'уже в конце xx века на западе не вступивших в брак женщин было столько же сколько вступивших')"
38,на сайте асинхронные машины откапал всю нужную информацию,на сайте асинхронные машины откопал всю нужную информацию,"['на', 'сайте', 'асинхронные', 'машины', 'откапал', 'всю', 'нужную', 'информацию']","['на', 'сайте', 'асинхронные', 'машины', 'откопал', 'всю', 'нужную', 'информацию']","(-149.4028480093082, 'на сайте асинхронные машины откопал всю нужную информацию')","(-139.12331160285987, 'на сайте асинхронные машины откапал всю нужную информацию')"
